parameters,Easy_0.5,Easy_0.7,Easy_0.9,Medium_0.5,Medium_0.7,Medium_0.9,Hard_0.5,Hard_0.7,Hard_0.9,sum
"['50', '50', '0.7']",10,10,10,19.6,17.25,20,19.35,19.15,30,155.35
"['50', '50', '0.95']",10,10,10,20,17.2,20,18.5,19.1,30,154.8
"['20', '50', '0.95']",10,10,10,20,17.1,20,17.7,19.25,30,154.05
"['20', '10', '0.95']",10,10,10,20,17.1,20,17.45,19,30,153.55
"['20', '50', '0.7']",10,10,10,20,17.25,20,17,18.95,30,153.2
"['100', '50', '0.7']",10,10,10,20,17.2,20,16.55,19.1,30,152.85
"['50', '50', '0.9']",10,10,10,19.55,17.3,20,16.2,19.65,30,152.7
"['50', '10', '0.95']",10,10,10,20,17.05,20,16.4,19.1,30,152.55
"['100', '50', '0.9']",10,10,10,19.6,16.95,20,16.75,19.15,30,152.45
"['100', '5', '0.9']",10,10,10,20,17.45,20,15.8,19,30,152.25
"['500', '50', '0.95']",10,10,10,19.55,16.8,20,17.15,18.75,30,152.25
"['20', '5', '0.95']",10,10,10,20,17.3,20,15.6,19.2,30,152.1
"['50', '10', '0.9']",10,10,10,20,17.3,20,15.45,19,30,151.75
"['100', '10', '0.7']",10,10,10,20,16.75,20,15.7,19.1,30,151.55
"['50', '10', '0.7']",10,10,10,20,17.05,20,15.1,19.15,30,151.3
"['20', '10', '0.9']",10,10,10,20,17.1,20,15,19.1,30,151.2
"['20', '10', '0.7']",10,10,10,20,17.2,20,14.65,19.2,30,151.05
"['20', '50', '0.9']",10,10,10,20,17.4,20,14.15,19.1,30,150.65
"['100', '10', '0.9']",10,10,10,20,17.1,20,14.35,19.1,30,150.55
"['500', '50', '0.9']",10,10,10,19.3,17.1,20,15.05,19.05,30,150.5
"['100', '5', '0.7']",10,10,10,20,16.8,20,14.65,19.05,30,150.5
"['50', '5', '0.7']",10,10,10,20,16.9,20,14.45,19.1,30,150.45
"['20', '2', '0.9']",10,10,10,19.5,16.55,20,15.05,19.2,30,150.3
"['100', '50', '0.95']",10,10,10,20,17.3,20,13.95,18.95,30,150.2
"['20', '5', '0.7']",10,10,10,20,17.1,20,14.05,18.9,30,150.05
"['500', '50', '0.7']",10,10,10,19.55,16.65,20,14.7,19.05,30,149.95
"['50', '5', '0.9']",10,10,10,20,17.1,20,13.65,19.15,30,149.9
"['100', '10', '0.95']",10,10,10,20,16.9,20,13.9,18.95,30,149.75
"['20', '2', '0.7']",10,10,10,20,16.9,20,13.8,18.95,30,149.65
"['100', '2', '0.95']",10,10,10,20,16.65,20,13.9,19.05,30,149.6
"['50', '2', '0.95']",10,10,10,20,16.35,20,13.75,19.05,30,149.15
"['500', '2', '0.95']",10,10,10,19.35,16.4,20,14.4,18.95,30,149.1
"['500', '2', '0.9']",10,10,10,18.9,16.45,20,14.6,19.05,30,149
"['50', '5', '0.95']",10,10,10,20,17.15,20,13,18.8,30,148.95
"['500', '10', '0.7']",10,10,10,19.65,16.75,20,13.35,19.05,30,148.8
"['500', '5', '0.95']",10,10,10,19.2,16.75,20,13.85,19,30,148.8
"['20', '5', '0.9']",10,10,10,20,17.35,20,12.3,19,30,148.65
"['100', '5', '0.95']",10,10,10,19.6,16.8,20,13.15,19.05,30,148.6
"['500', '10', '0.9']",10,10,10,19.55,16.55,20,13.35,18.9,30,148.35
"['50', '2', '0.7']",10,10,10,20,16.65,20,12.7,18.85,30,148.2
"['100', '2', '0.7']",10,10,10,19.2,16.5,20,13.55,18.95,30,148.2
"['20', '2', '0.95']",10,10,10,19.2,16.75,20,12.8,19.1,30,147.85
"['500', '2', '0.7']",10,10,10,18.3,16.45,20,13.95,19.1,30,147.8
"['500', '10', '0.95']",10,10,10,19.2,16.4,20,13,18.95,30,147.55
"['500', '5', '0.7']",10,10,10,18.65,16.45,20,13.45,18.95,30,147.5
"['50', '2', '0.9']",10,10,10,19.6,16.7,20,12.25,18.95,30,147.5
"['500', '5', '0.9']",10,10,10,18.25,16.55,20,13.8,18.9,30,147.5
"['100', '2', '0.9']",10,10,10,20,16.35,20,12.1,18.95,30,147.4
