parameters,Easy_0.5,Easy_0.7,Easy_0.9,Medium_0.5,Medium_0.7,Medium_0.9,Hard_0.5,Hard_0.7,Hard_0.9
"['20', '2', '0.7']",10.0,10.0,10.0,20.0,16.9,20.0,13.8,18.95,30.0
"['20', '2', '0.9']",10.0,10.0,10.0,19.5,16.55,20.0,15.05,19.2,30.0
"['20', '2', '0.95']",10.0,10.0,10.0,19.2,16.75,20.0,12.8,19.1,30.0
"['20', '5', '0.7']",10.0,10.0,10.0,20.0,17.1,20.0,14.05,18.9,30.0
"['20', '5', '0.9']",10.0,10.0,10.0,20.0,17.35,20.0,12.3,19.0,30.0
"['20', '5', '0.95']",10.0,10.0,10.0,20.0,17.3,20.0,15.6,19.2,30.0
"['20', '10', '0.7']",10.0,10.0,10.0,20.0,17.2,20.0,14.65,19.2,30.0
"['20', '10', '0.9']",10.0,10.0,10.0,20.0,17.1,20.0,15.0,19.1,30.0
"['20', '10', '0.95']",10.0,10.0,10.0,20.0,17.1,20.0,17.45,19.0,30.0
"['20', '50', '0.7']",10.0,10.0,10.0,20.0,17.25,20.0,17.0,18.95,30.0
"['20', '50', '0.9']",10.0,10.0,10.0,20.0,17.4,20.0,14.15,19.1,30.0
"['20', '50', '0.95']",10.0,10.0,10.0,20.0,17.1,20.0,17.7,19.25,30.0
"['50', '2', '0.7']",10.0,10.0,10.0,20.0,16.65,20.0,12.7,18.85,30.0
"['50', '2', '0.9']",10.0,10.0,10.0,19.6,16.7,20.0,12.25,18.95,30.0
"['50', '2', '0.95']",10.0,10.0,10.0,20.0,16.35,20.0,13.75,19.05,30.0
"['50', '5', '0.7']",10.0,10.0,10.0,20.0,16.9,20.0,14.45,19.1,30.0
"['50', '5', '0.9']",10.0,10.0,10.0,20.0,17.1,20.0,13.65,19.15,30.0
"['50', '5', '0.95']",10.0,10.0,10.0,20.0,17.15,20.0,13.0,18.8,30.0
"['50', '10', '0.7']",10.0,10.0,10.0,20.0,17.05,20.0,15.1,19.15,30.0
"['50', '10', '0.9']",10.0,10.0,10.0,20.0,17.3,20.0,15.45,19.0,30.0
"['50', '10', '0.95']",10.0,10.0,10.0,20.0,17.05,20.0,16.4,19.1,30.0
"['50', '50', '0.7']",10.0,10.0,10.0,19.6,17.25,20.0,19.35,19.15,30.0
"['50', '50', '0.9']",10.0,10.0,10.0,19.55,17.3,20.0,16.2,19.65,30.0
"['50', '50', '0.95']",10.0,10.0,10.0,20.0,17.2,20.0,18.5,19.1,30.0
"['100', '2', '0.7']",10.0,10.0,10.0,19.2,16.5,20.0,13.55,18.95,30.0
"['100', '2', '0.9']",10.0,10.0,10.0,20.0,16.35,20.0,12.1,18.95,30.0
"['100', '2', '0.95']",10.0,10.0,10.0,20.0,16.65,20.0,13.9,19.05,30.0
"['100', '5', '0.7']",10.0,10.0,10.0,20.0,16.8,20.0,14.65,19.05,30.0
"['100', '5', '0.9']",10.0,10.0,10.0,20.0,17.45,20.0,15.8,19.0,30.0
"['100', '5', '0.95']",10.0,10.0,10.0,19.6,16.8,20.0,13.15,19.05,30.0
"['100', '10', '0.7']",10.0,10.0,10.0,20.0,16.75,20.0,15.7,19.1,30.0
"['100', '10', '0.9']",10.0,10.0,10.0,20.0,17.1,20.0,14.35,19.1,30.0
"['100', '10', '0.95']",10.0,10.0,10.0,20.0,16.9,20.0,13.9,18.95,30.0
"['100', '50', '0.7']",10.0,10.0,10.0,20.0,17.2,20.0,16.55,19.1,30.0
"['100', '50', '0.9']",10.0,10.0,10.0,19.6,16.95,20.0,16.75,19.15,30.0
"['100', '50', '0.95']",10.0,10.0,10.0,20.0,17.3,20.0,13.95,18.95,30.0
"['500', '2', '0.7']",10.0,10.0,10.0,18.3,16.45,20.0,13.95,19.1,30.0
"['500', '2', '0.9']",10.0,10.0,10.0,18.9,16.45,20.0,14.6,19.05,30.0
"['500', '2', '0.95']",10.0,10.0,10.0,19.35,16.4,20.0,14.4,18.95,30.0
"['500', '5', '0.7']",10.0,10.0,10.0,18.65,16.45,20.0,13.45,18.95,30.0
"['500', '5', '0.9']",10.0,10.0,10.0,18.25,16.55,20.0,13.8,18.9,30.0
"['500', '5', '0.95']",10.0,10.0,10.0,19.2,16.75,20.0,13.85,19.0,30.0
"['500', '10', '0.7']",10.0,10.0,10.0,19.65,16.75,20.0,13.35,19.05,30.0
"['500', '10', '0.9']",10.0,10.0,10.0,19.55,16.55,20.0,13.35,18.9,30.0
"['500', '10', '0.95']",10.0,10.0,10.0,19.2,16.4,20.0,13.0,18.95,30.0
"['500', '50', '0.7']",10.0,10.0,10.0,19.55,16.65,20.0,14.7,19.05,30.0
"['500', '50', '0.9']",10.0,10.0,10.0,19.3,17.1,20.0,15.05,19.05,30.0
"['500', '50', '0.95']",10.0,10.0,10.0,19.55,16.8,20.0,17.15,18.75,30.0
